,title,discounted price,brand,percent dicount,original cost,image link
66,Solid Men Black Track Pants,₹225,ASDF,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3dcl8w0/track-pant/h/z/y/xxl-df1-black-asdf-asdf-original-imageg3nx5naufgy.jpeg?q=50
67,Solid Men Grey Track Pants,₹225,ASDF,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3bx5e80/track-pant/k/8/e/m-df1-grey-asdf-original-imageh9ru7ccwtd3.jpeg?q=50
68,Solid Men Dark Green Track Pants,₹226,TRIPR,88% off,"₹1,999",https://rukminim1.flixcart.com/image/660/792/kfmv9u80/track-pant/x/w/g/xxl-togr-jog-tripr-original-imafwfu6srngve6h.jpeg?q=50
69,Solid Men Grey Track Pants,₹227,Aayat Enterprises,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/ko1smfk0/track-pant/1/v/b/xxl-m-c3-muskan-creation-original-imag2h74hqzrtruw.jpeg?q=50
70,Printed Men Black Track Pants,₹227,RUNNING MACHINE,76% off,₹981,https://rukminim1.flixcart.com/image/660/792/kxrvi4w0/track-pant/w/m/j/xl-043-running-machine-original-imaga5kf2bachtby.jpeg?q=50
71,Printed Men Dark Blue Track Pants,₹229,MRB,61% off,₹599,https://rukminim1.flixcart.com/image/660/792/k4yhtow0/track-pant/g/y/h/32-moorthi305-mrb-original-imafnqskzhbzu9th.jpeg?q=50
72,Solid Men Black Track Pants,₹229,LAHEJA,54% off,₹499,https://rukminim1.flixcart.com/image/660/792/l111lzk0/track-pant/j/k/o/l-grey-132-fruzis-fashion-original-imagczqf5pghwr3b.jpeg?q=50
73,Solid Men Blue Track Pants,₹229,Kizaar,88% off,"₹1,999",https://rukminim1.flixcart.com/image/660/792/kidgnm80-0/track-pant/c/c/g/m-solid-blue-jogger-trackpants-kizaar-original-imafy6rrzezgsefh.jpeg?q=50
74,Solid Men Grey Track Pants,₹229,Foxter,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l2tcfbk0/track-pant/6/s/l/s-solid-men-grey-track-pants-foxter-original-image2gnmddtfj2r.jpeg?q=50
75,"Solid Men Grey, White, Black Track Pants",₹229,Foxter,82% off,"₹1,299",https://rukminim1.flixcart.com/image/660/792/kkec4280/track-pant/y/x/n/m-solid-men-grey-white-black-track-pants-size-regular-m-foxter-original-imafzr4y5t72vdqq.jpeg?q=50
76,Color Block Men Green Track Pants,₹229,Fruzis Fashion,54% off,₹499,https://rukminim1.flixcart.com/image/660/792/l111lzk0/track-pant/y/0/b/xl-grey-143-laheja-original-imagczp3kczru8ha.jpeg?q=50
77,Striped Men Black Track Pants,₹229,Tee town,67% off,₹715,https://rukminim1.flixcart.com/image/660/792/kfyasnk0/track-pant/g/h/3/m-lower-3line-black-m-tee-town-original-imafwaddw9jf49yz.jpeg?q=50
78,Solid Men Blue Track Pants,₹229,Fruzis Fashion,54% off,₹499,https://rukminim1.flixcart.com/image/660/792/l111lzk0/track-pant/w/j/t/m-grey-119-laheja-original-imagczp3asr4heft.jpeg?q=50
79,Solid Men Green Track Pants,₹229,Foxter,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l2tcfbk0/track-pant/p/p/n/s-solid-men-green-track-pants-foxter-original-image2gn9hgwe2zv.jpeg?q=50
80,Solid Men Black Track Pants,₹229,guruji style,11% off,₹259,https://rukminim1.flixcart.com/image/660/792/l3929ow0/track-pant/v/s/a/l-neon-001-guruji-style-original-imagef8svjq4qsxq.jpeg?q=50
81,Solid Men Black Track Pants,₹229,Life store mart,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/kziqvm80/track-pant/a/d/0/xxl-solid-comfortable-men-plain-p-track-pant-casual-prefrash-original-imagbg8wrw9gwqvy.jpeg?q=50
82,Color Block Men Light Blue Track Pants,₹229,Henzila,54% off,₹499,https://rukminim1.flixcart.com/image/660/792/l111lzk0/track-pant/g/g/v/l-grey-147-henzila-original-imagczpwdrrry8fe.jpeg?q=50
83,Solid Men Black Track Pants,₹229,Foxter,74% off,₹899,https://rukminim1.flixcart.com/image/660/792/l2tcfbk0/track-pant/y/g/p/s-solid-men-black-track-pants-foxter-original-image2gjq4duyt9a.jpeg?q=50
84,Solid Men Black Track Pants,₹229,LAHEJA,54% off,₹499,https://rukminim1.flixcart.com/image/660/792/l111lzk0/track-pant/y/3/z/l-grey-139-laheja-original-imagczpgpkypyxzt.jpeg?q=50
85,Solid Men Black Track Pants,₹229,LAHEJA,54% off,₹499,https://rukminim1.flixcart.com/image/660/792/l111lzk0/track-pant/x/z/n/m-grey-123-laheja-original-imagczqyrhszqqw5.jpeg?q=50
